route,stops,types
70V,"KOYMABEDU MARKET,KOYAMBEDU P.S,C.M.B.T.,MADURAPAKKAM,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",EXP
M61B Cut,"KOYMABEDU MARKET,KOYAMBEDU P.S,KOYAMBEDU SCHOOL,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,AAFS CROSS ROAD,VENGAL CROSS ROAD,VEERAPURAM RD JN.,BANGARUPET,POOCHIATHIBEDU",ORD
41D,"MANDAVELI,ADYAR GATE,DEFENCE QUARTERS,D.M.S,STERLING ROAD,TAYLORS ROAD,AMINIJIKARAI,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,JN.OF CENTRAL AVENUE&ERIK;,VINAYAGAR KOIL,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI","EXP,ORD"
27B,"C.M.B.T.,ARUMBAKKAM,NADUVANKARAI,AMINIJIKARAI,TAYLORS ROAD,TB HOSPITAL,EGMORE,PERIYAR BRIDGE,TRIPLICANE O.T (CORPN. SC,ANNA SQUARE","ORD,NGT"
27C,"T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,CHINMAYA NAGAR,KOYMABEDU MARKET,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
27D,"FORE SHORE ESTATE,Q.M.C,V.M.STREET,U.S.I.S.,T.V.S,ANNA ROAD P.O./DAMS ROAD,EGMORE,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,VILLIVAKKAM",ORD
E18,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",EXP
19V,"VELACHERY,I.R.T. RD.JN.,SRP TOOLS,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR",ORD
27L,"EGMORE,MATERNITY HOSPITAL,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,MOGAPAIR WEST","ORD,ORD"
19P,"ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,THALAMBUR,SIRUCHERI,SONALUR / PUDUR,PUDUPAKKAM,VANDALOOR RD.JN,SATHANKUPPAM,KELAMBAKKAM",ORD
70D Dlx,"AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY,A.V.CONSTRUCTION,PONNIAMMAN KOIL RD. JN.,MADIPAKKAM B.S",ORD
M159A,"THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
M159B,"TOLLGATE,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CHOOLAI P.O,MILLERS ROAD,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
M159E,"ENNORE,THAZHANKUPPAM,KOTHARI,ASHOK LEYLAND MARK.DIV.,I.C.I.,THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
19H,"T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR",ORD
19K,"ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,THALAMBUR,SIRUCHERI",ORD
19E,"BROADWAY,CENTRAL,PERIYAR BRIDGE,T.V.S,WESLEY H.S,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR,NATURE CARE HOSPITAL,MUTTUKKADU,MUTTUKKADU BOAT YARD,KOVALAM",ORD
19D,"ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,NUCLEUS COMPANY,CHEMMANCHERY S.C.B.",ORD
19G,"BROADWAY,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR,NATURE CARE HOSPITAL,MUTTUKKADU,MUTTUKKADU BOAT YARD,KOVALAM","ORD,EXP"
101,"THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE","EXP,NGT"
19B,"SAIDAPET,CONCORDE,ENG.COLLEGE,WOMEN'S POLYTECHNIC,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM",ORD
52B,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,KUMARAN KUNDRAM,HASTHINAPURAM",ORD
52C,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,KUMARAN KUNDRAM,HASTHINAPURAM",ORD
52L,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,BURIAL GROUND,VANUVAMBEDU,CHIDAMBARAM STORES,NANGANALLUR","ORD,ORD"
32,"V. NAGAR,UNIVERCITY CLUB,CENTRAL,P.OR & SONS,V.HOUSE","ORD,ORD"
52H,"POZHICHALUR,PAMMAL,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MUDICHUR VILLAGE,MANIVAKKAM,KARASANGAL,MANIMANGALAM",ORD
M114P,"PADIYANALLUR,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,CYCLE SHOP,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,KOYAMBEDU P.S,KOYMABEDU MARKET",ORD
35,"BROADWAY,CENTRAL,CHOOLAI P.O,KELLEYS,AYANAVARAM B.S",EXP
52K,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,SECRETARIAT COLONY,ST THOMAS MOUNT R.S,VANUVAMBEDU,CHIDAMBARAM STORES,NANGANALLUR,MADIPAKKAM RD. JN.,KILKATTALAI",ORD
M147,"MADAHVARAM VILLAGE,MADHAVARAM POST BOX,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,HOTEL ARUN,NUNGAMBAKKAM R.S,MAHALINGAPURAM,BHARATHI NAGAR(PERIYAR PA,T.NAGAR",ORD
52P,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,PAZAVANTHANGAL ROAD JN.,CHIDAMBARAM STORES,NANGANALLUR,MOOVARASANPET",ORD
11H Dlx,"BROADWAY,SECRETARIAT,CHEPAUK,ANNA ROAD P.O./DAMS ROAD,T.V.S,D.M.S,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL",ORD
11G Dlx,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR WEST",ORD
11A Dlx,"V. NAGAR,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,T.NAGAR",ORD
M21B,"CHROMPET,KUMARAN KUNDRAM,HASTHINAPURAM,JAYENDIRA NAGAR,S.I.V.E.T,JN.OF.VLY-TBM RD&MVKM-K.K;,MEDAVAKKAM COLONY,NARAYANAPURAM,MADIPAKKAM RD. JN.,VIJAYA NAGAR",ORD
242,"BROADWAY,CENTRAL,DOVETON,P1.POLICE STATION,JAMALAYA,VEENUS,S.R.P. COLONY,KOLATHUR/NEHRU RD JN,VINAYAGAPURAM,KATHIRVEDU,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS",EXP
M21C,"CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,EASWARAN TEMPLE/PTC QRTS.,KANNAGI NAGAR S.C.BOARD",ORD
G70 Dlx,"VADAPALANI B.S,Jn.OF P.T.R Rd/KAMARAJ Rd,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",ORD
597 Dlx,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI,VELLAVEDU,NEMAM,PUTHUCHATHIRAM,METTUKANDIGAI,MURUKKANCHERI,ARANVOYAL KUPPAM,ARANVOYAL,VENKATHUR,MANAVALAN NAGAR,OIL MILL,THIRUVALLUR",ORD
M21A,"TAMBARAM,T.B.SANATORIUM,VARADHARAJA THEATER,KUMARAN KUNDRAM,HASTHINAPURAM,JAYENDIRA NAGAR,S.I.V.E.T,JN.OF.VLY-TBM RD&MVKM-K.K;,MEDAVAKKAM COLONY,NARAYANAPURAM,MADIPAKKAM RD. JN.,VIJAYA NAGAR",ORD
11A Ext,"M.K.B.NAGAR EAST,VYASARPADI,V. NAGAR,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,T.NAGAR",EXP
D70,"AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY","ORD,EXP,NGT"
566 Dlx,"KUNDRATHUR B.S,ANDAKUPPAM,ANAKAPUTHUR,PAMMAL,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,ANNA NAGAR,KOLAPAKKAM,VENGAMBAKKAM RD JN.,KANDIGAI,MAMBAKKAM RDJN./VENKATAMA,CAMP,PUDUPAKKAM,SAMIYAR PANNAI,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR",ORD
579A,"TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MUDICHUR VILLAGE,MANIVAKKAM,KARASANGAL,M.G.R.NAGAR,PADAPPAI,SALAMANGALAM KOOT ROAD,VANJIVANCHERY,SARAPANCHERY,PANAPAKKAMEDU,VATTAMBAKKAM,ORAGADAM KOOT ROAD,EZHICHUR KOOT ROAD,PANRUTTI,KUNNAVAKKAM,VARANAVASI,THAZHAMBEDU,THEVERIPAKKAM,NATHATHANALLUR,OOTHUKADU CROSS ROAD,WALLAJABATH",EXP
565 Dlx,"PATTABIRAM,KAVARAIPALAYAM,AVADI,AVADI MOSQUE,GOVARDANAGIRI,MELPAKKAM,SENNEERKUPPAM,KARAYANCAHVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR",ORD
242 Dlx,"BROADWAY,CENTRAL,DOVETON,P1.POLICE STATION,JAMALAYA,VEENUS,S.R.P. COLONY,KOLATHUR/NEHRU RD JN,VINAYAGAPURAM,KATHIRVEDU,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS",ORD
568 Dlx,"ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR,THANDALAM VILLAGE,KARUNGUDI PALLAM,KOOTHAVAKKAM SCHOOL,GOVERNMENT SCHOOL / HOSPI,MAMALLAPURAM",ORD
A51,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,JN.OF.VLY-TBM RD&MVKM-K.K;,S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,TAMBARAM EAST","ORD,EXP"
162A,"MATHUR M.M.D.A.,AZEEZEE NAGAR JN.,MANJAMBAKKAM,VADAPERUMBAKKAM,GRAND LINE,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,SCREW FACTORY,SURAPEDU,KALLIKUPPAM,PUDUR,AMB OT,DUNLOP,AMB.ESTATE P.S.,AMBATHUR ESTATE",EXP
A57,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR",EXP
70C,"KOYMABEDU MARKET,KOYAMBEDU P.S,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM","ORD,EXP"
M114 Cut,"RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,CYCLE SHOP,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,KOYAMBEDU P.S,KOYMABEDU MARKET",ORD
19G Dlx,"BROADWAY,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR,NATURE CARE HOSPITAL,MUTTUKKADU,MUTTUKKADU BOAT YARD,KOVALAM",ORD
M71E,"AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR",NGT
M71C,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,KILPAUK GARDEN,ICF ANNEXE,NATHAMUNI TALKIES,SIDCO NAGAR",ORD
M88,"VADAPALANI B.S,AYYAPPAN THANGAL,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S,KUNDRATHUR MURUGAN TEMPLE",ORD
05K,"MYLAPORE,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR B.S.,WOMEN'S POLYTECHNIC,TARAMANI",ORD
05E,"VADAPALANI B.S,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR,JAFFARKHAN PET,SRINIVASA THEATER,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,BESANT NAGAR","EXP,ORD"
05G,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,I.R.T. RD.JN.,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,THORAPPAKKAM P.T.C COLONY,KANNAGI NAGAR S.C.BOARD",ORD
05A,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,JN.OF.VLY-TBM RD&MVKM-K.K;,S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,TAMBARAM EAST","ORD,NGT,EXP"
05C,"BROADWAY,CENTRAL,P.OR & SONS,WESLEY H.S,C.I.T.COLONY,ADYAR GATE,KOTTURPURAM,KOTTUR NSK STATUE,WOMEN'S POLYTECHNIC,TARAMANI",ORD
170H,"PERAMBUR B.S,VEENUS,S.R.P. COLONY,KOLATHUR,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,KUMARAN KUNDRAM,HASTHINAPURAM",EXP
116L,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,SATHIYAMOORTHY NAGAR,M.K.B.NAGAR,SIDCO,JN.OF MANALI RD.CHINNA KO,KODUNGAIYUR(PARVATHI NAGA",ORD
05T,"VADAPALANI B.S,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR,GOVT. GIRLS H.SC,ANJUGAM SCHOOL,T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,WOMEN'S POLYTECHNIC,TARAMANI",ORD
M20M,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,VILLIVAKKAM,SRINIVASA NAGAR,POOMBUHAR,KOLATHUR/NEHRU RD JN,PEAVALLUR KUMARAN NAGAR",ORD
05S,"T.NAGAR,S.H.B,KOTTURPURAM,JN OF GANDHIMANDABAM&SARD;,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
M88 Dlx,"VADAPALANI B.S,AYYAPPAN THANGAL,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S,KUNDRATHUR MURUGAN TEMPLE",ORD
56P Dlx,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,THRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,NAPALAYAM,KONDAKKARAI,PATTAMANDIRI,MINJUR B.D.O,MINJUR NEW TERMINUS",ORD
M88E,"EKKATTUTHANGAL,CIPET,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S",ORD
A70 Dlx,"AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,LUCAS TVS,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM",ORD
56E,"TOLLGATE,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,NAPALAYAM,KONDAKKARAI,PATTAMANDIRI,MINJUR B.D.O,MINJUR NEW TERMINUS",ORD
88C Ext,"NANDAMBAKKAM VILLAGE,PERIYAR NAGAR,SIRUKALATHUR,KUNDRATHUR B.S,THANDALAM RD JN.,PERIYAPANICHERI,MOULIVAKKAM,PORUR,MOGALIVAKKAM,RAMAPURAM,BUTT ROAD,GUINDY R.S,CONCORDE,SAIDAPET,T.NAGAR",ORD
170N,"PERAMBUR B.S,VEENUS,T.V.K.NAGAR,S.R.P. COLONY,KOLATHUR,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,PAZAVANTHANGAL ROAD JN.,CHIDAMBARAM STORES,NANGANALLUR,MADIPAKKAM RD. JN.,KILKATTALAI",EXP
24C Dlx,"AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,AMINIJIKARAI,TAYLORS ROAD,STERLING ROAD,GEMINI P.H,ROYAPETTA HOSPITAL,V.HOUSE",ORD
24A Dlx,"ANNA NAGAR WEST,MAHARANI,BRINDAVAN COLONY,AMINIJIKARAI,TAYLORS ROAD,STERLING ROAD,GEMINI P.H,ROYAPETTA HOSPITAL,V.HOUSE",ORD
21L Ext,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,A.V.CONSTRUCTION,PONNIAMMAN KOIL RD. JN.,MADIPAKKAM RD. JN.,KILKATTALAI",ORD
120 Dlx,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
153,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KOYAMBEDU SCHOOL,POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI",EXP
C70 Dlx,"RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,KATHIRVEDU,VINAYAGAPURAM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE",ORD
